age,age_o,d_age,d_d_age,samerace,importance_same_race,importance_same_religion,d_importance_same_race,d_importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,d_pref_o_attractive,d_pref_o_sincere,d_pref_o_intelligence,d_pref_o_funny,d_pref_o_ambitious,d_pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,d_attractive_o,d_sinsere_o,d_intelligence_o,d_funny_o,d_ambitous_o,d_shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,d_attractive_important,d_sincere_important,d_intellicence_important,d_funny_important,d_ambtition_important,d_shared_interests_important,attractive,sincere,intelligence,funny,ambition,d_attractive,d_sincere,d_intelligence,d_funny,d_ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,d_attractive_partner,d_sincere_partner,d_intelligence_partner,d_funny_partner,d_ambition_partner,d_shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,d_sports,d_tvsports,d_exercise,d_dining,d_museums,d_art,d_hiking,d_gaming,d_clubbing,d_reading,d_tv,d_theater,d_movies,d_concerts,d_music,d_shopping,d_yoga,interests_correlate,d_interests_correlate,expected_happy_with_sd_people,expected_num_matches,d_expected_happy_with_sd_people,d_expected_num_interested_in_me,d_expected_num_matches,like,guess_prob_liked,d_like,d_guess_prob_liked,met,gender_female,gender_male,race_Asian/Pacific Islander/Asian-American,race_Black/African American,race_European/Caucasian-American,race_Latino/Hispanic American,race_Other,race_o_?,race_o_Asian/Pacific Islander/Asian-American,race_o_Black/African American,race_o_European/Caucasian-American,race_o_Latino/Hispanic American,race_o_Other,field_anthropology,field_architecture,field_art,field_biology,field_business,field_chemistry,field_communications,field_economics,field_education,field_engineering,field_environmental science,field_finance,field_health,field_history,field_law,field_literature,field_mathematics,field_medicine,field_other/job,field_philosophy,field_physics,field_political science,field_psychology,field_religion,field_sociology
28.0,21.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,12.0,18.0,20.0,16.0,16.0,18.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,7.0,6.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,40.0,20.0,20.0,20.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,8.0,9.0,8.0,8.0,8.0,1.0,2.0,1.0,1.0,1.0,5.0,7.0,7.0,7.0,7.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,2.0,2.0,8.0,7.0,8.0,8.0,1.0,3.0,7.0,1.0,8.0,6.0,9.0,9.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,-0.2,-1.0,7.0,2.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,27.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,40.0,20.0,20.0,20.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,9.0,9.0,7.0,7.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,25.0,25.0,25.0,12.0,3.0,10.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,9.0,6.0,8.0,4.0,1.0,2.0,1.0,1.0,0.0,6.0,5.0,5.0,5.0,8.0,3.6,1.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,4.0,10.0,8.0,7.0,10.0,5.0,7.0,9.0,1.0,3.0,9.0,7.0,5.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.33,0.0,5.0,5.0,1.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,28.0,8.0,3.0,0.0,5.0,5.0,1.0,1.0,17.0,17.0,17.0,17.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,10.0,9.0,7.0,7.0,7.0,1.0,2.0,2.0,1.0,1.0,1.0,15.0,15.0,15.0,20.0,20.0,15.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,9.0,6.0,9.0,8.0,1.0,2.0,1.0,2.0,1.0,8.0,10.0,9.0,10.0,9.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,8.0,8.0,8.0,2.0,2.0,6.0,9.0,6.0,10.0,8.0,10.0,10.0,10.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,-0.09,-1.0,8.0,5.0,2.0,0.0,1.0,8.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,26.0,5.0,2.0,0.0,6.0,7.0,2.0,2.0,30.0,10.0,20.0,20.0,10.0,10.0,2.0,0.0,1.0,1.0,0.0,0.0,7.0,8.0,8.0,7.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,15.0,0.0,15.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,10.0,10.0,1.0,1.0,1.0,2.0,2.0,10.0,6.0,8.0,10.0,6.0,4.4,2.0,1.0,1.0,2.0,1.0,0.0,9.0,10.0,6.0,4.0,3.0,3.0,7.0,6.0,7.0,7.0,8.0,3.0,10.0,6.0,8.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.14,0.0,9.0,2.0,2.0,1.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,26.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,15.0,10.0,30.0,10.0,15.0,20.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,8.0,7.0,7.0,4.97,4.66,1.0,1.0,1.0,1.0,0.0,0.0,25.0,10.0,20.0,20.0,10.0,15.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,5.0,8.0,9.0,8.0,5.18,8.0,0.0,1.0,2.0,1.0,0.0,1.0,9.0,2.0,9.0,9.0,9.0,9.0,7.0,3.0,5.0,9.0,1.0,6.0,7.0,8.0,10.0,3.0,8.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.04,0.0,7.0,1.01,2.0,0.0,0.0,6.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,34.0,5.0,2.0,1.0,4.0,1.0,1.0,0.0,10.0,10.0,30.0,20.0,10.0,20.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,8.0,10.0,8.0,5.18,4.99,2.0,1.0,2.0,1.0,0.0,0.0,50.0,7.0,20.0,23.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,7.0,5.0,7.0,6.0,6.0,1.0,0.0,1.0,1.0,1.0,4.0,6.0,7.0,7.0,7.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,6.0,8.0,8.0,3.0,3.0,3.0,6.0,1.0,5.0,8.0,3.0,2.0,7.0,3.0,7.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.08,0.0,5.0,1.14,1.0,1.0,0.0,4.0,7.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,32.0,8.0,3.0,0.0,2.0,1.0,1.0,0.0,17.24,17.24,17.24,17.24,13.79,17.24,1.0,1.0,1.0,1.0,0.0,1.0,5.0,8.0,8.0,10.0,5.0,7.0,0.0,1.0,1.0,2.0,0.0,1.0,14.0,18.0,20.0,18.0,16.0,14.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,8.0,9.0,9.0,7.0,1.0,1.0,2.0,2.0,1.0,8.0,8.0,8.0,7.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,1.0,4.0,10.0,8.0,8.0,4.0,7.0,5.0,9.0,6.0,5.0,10.0,8.0,10.0,7.0,3.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.23,0.0,3.0,7.0,0.0,0.0,2.0,5.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23.0,27.0,4.0,2.0,0.0,2.0,4.0,1.0,1.0,25.0,20.0,25.0,20.0,10.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,6.0,6.0,4.95,6.0,4.43,6.0,1.0,1.0,0.0,1.0,0.0,1.0,16.0,16.0,19.0,17.0,14.0,18.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,4.0,7.0,8.0,6.0,0.0,0.0,1.0,1.0,1.0,5.0,7.0,7.0,6.0,5.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,8.0,4.0,6.0,9.0,8.0,7.0,8.0,4.0,6.0,9.0,2.0,7.0,5.0,6.0,7.0,6.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6,1.0,5.0,6.0,1.0,0.0,2.0,6.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,24.0,8.0,3.0,0.0,9.0,6.0,2.0,2.0,12.77,19.15,17.02,17.02,14.89,19.15,0.0,1.0,1.0,1.0,0.0,1.0,7.0,6.0,8.0,7.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,20.0,7.0,13.33,1.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,8.0,9.0,8.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,-0.51,-1.0,6.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,27.0,4.0,2.0,1.0,3.0,1.0,1.0,0.0,25.0,20.0,10.0,20.0,15.0,10.0,2.0,1.0,0.0,1.0,0.0,0.0,3.68,4.14,4.6,3.79,4.34,3.19,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,10.0,10.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,7.0,8.0,4.0,10.0,8.0,1.0,1.0,0.0,2.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,7.0,5.0,1.0,1.0,3.0,10.0,1.0,6.0,6.0,3.0,7.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.17,0.0,4.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,24.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,20.0,10.0,20.0,20.0,10.0,20.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,4.11,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,15.0,15.0,15.0,16.0,2.0,1.0,0.0,0.0,0.0,1.0,8.0,8.0,7.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,7.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,4.0,8.0,7.0,3.0,3.0,5.0,3.0,4.0,7.0,6.0,6.0,7.0,6.0,6.0,6.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.14,0.0,4.0,1.5,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26.0,24.0,2.0,1.0,1.0,8.0,1.0,2.0,0.0,16.0,16.0,20.0,16.0,18.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,8.0,8.0,10.0,7.0,10.0,9.0,1.0,1.0,2.0,1.0,2.0,2.0,21.0,17.0,21.0,13.0,6.0,21.28,2.0,1.0,2.0,0.0,0.0,2.0,7.0,10.0,7.0,10.0,10.0,1.0,2.0,1.0,2.0,2.0,3.0,9.0,9.0,4.0,7.0,6.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,8.0,7.0,8.0,8.0,10.0,1.0,2.0,10.0,4.0,8.0,6.0,10.0,10.0,1.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,-0.43,-1.0,3.0,1.52,0.0,0.0,0.0,6.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,25.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,17.65,17.65,17.65,15.69,15.69,15.69,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,18.0,15.0,21.0,10.0,10.26,2.0,1.0,1.0,2.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,5.0,8.0,7.0,4.0,6.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,7.0,8.0,6.0,7.0,7.0,3.0,2.0,8.0,4.0,5.0,6.0,7.0,4.0,9.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,-0.2,-1.0,3.0,4.0,0.0,0.0,1.0,6.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,15.0,25.0,20.0,15.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0,6.0,8.0,4.0,9.0,4.0,1.0,1.0,1.0,0.0,2.0,0.0,60.0,0.0,0.0,40.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,2.0,2.0,2.0,2.0,2.0,7.0,9.0,10.0,6.0,6.0,5.0,1.0,2.0,2.0,1.0,1.0,0.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.21,0.0,7.0,3.0,2.0,2.0,1.0,8.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,23.0,2.0,1.0,1.0,8.0,1.0,2.0,0.0,30.0,5.0,15.0,40.0,5.0,5.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,6.0,8.0,10.0,10.0,1.0,1.0,1.0,1.0,2.0,2.0,20.0,5.0,25.0,25.0,10.0,15.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,3.0,6.0,10.0,8.0,1.0,0.0,1.0,2.0,1.0,8.0,5.0,5.0,7.0,7.0,9.0,1.0,0.0,0.0,1.0,1.0,2.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.08,0.0,7.0,0.55,2.0,2.0,0.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,23.0,8.0,3.0,1.0,4.0,7.0,1.0,2.0,15.38,17.31,19.23,19.23,11.54,17.31,1.0,1.0,1.0,1.0,0.0,1.0,6.0,8.0,6.0,6.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,18.0,18.0,18.0,13.0,15.56,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,8.0,8.0,6.0,1.0,1.0,1.0,1.0,1.0,8.0,9.0,8.0,8.0,8.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,9.0,8.0,7.0,8.0,9.0,3.0,8.0,7.0,4.0,6.0,8.0,7.0,7.0,3.0,5.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.68,1.0,4.0,1.92,0.0,0.0,0.0,8.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28.0,26.0,2.0,1.0,1.0,9.0,1.0,2.0,0.0,20.0,16.0,18.0,16.0,16.0,14.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0,16.0,18.0,18.0,16.0,14.55,1.0,1.0,1.0,1.0,1.0,0.0,7.0,9.0,9.0,9.0,9.0,1.0,2.0,2.0,2.0,2.0,7.0,6.0,8.0,8.0,10.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,9.0,8.0,9.0,10.0,9.0,9.0,5.0,8.0,1.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,7.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.56,1.0,5.0,2.0,1.0,0.0,0.0,8.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22.0,27.0,5.0,2.0,0.0,3.0,3.0,1.0,1.0,10.0,20.0,25.0,20.0,20.0,5.0,0.0,1.0,2.0,1.0,1.0,0.0,7.0,7.0,8.0,7.0,9.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,15.0,25.0,15.0,20.0,10.0,15.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,10.0,9.0,7.0,9.0,1.0,2.0,2.0,1.0,2.0,4.0,9.0,8.0,6.0,8.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0,7.0,7.0,8.0,5.0,5.0,2.0,2.0,9.0,5.0,7.0,2.0,8.0,4.0,9.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,-0.35,-1.0,7.0,2.0,2.0,0.0,0.0,5.0,9.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,25.0,0.0,0.0,0.0,9.0,7.0,2.0,2.0,20.0,20.0,20.0,20.0,5.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,8.0,8.0,10.0,5.0,6.0,5.0,1.0,1.0,2.0,0.0,1.0,0.0,20.0,23.0,23.0,22.0,7.0,5.0,1.0,2.0,2.0,2.0,0.0,0.0,8.0,9.0,9.0,9.0,7.0,1.0,2.0,2.0,2.0,1.0,7.0,9.0,9.0,9.0,9.0,10.0,1.0,2.0,2.0,2.0,2.0,2.0,9.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.18,0.0,7.0,10.0,2.0,1.0,2.0,8.0,8.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,24.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,20.0,20.0,25.0,25.0,5.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,15.0,18.0,19.0,19.0,17.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,9.0,8.0,8.0,9.0,1.0,2.0,1.0,1.0,2.0,6.0,8.0,8.0,4.0,7.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,3.0,7.0,8.0,7.0,7.0,4.0,2.0,7.0,8.0,6.0,7.0,7.0,5.0,7.0,5.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,-0.42,-1.0,5.0,2.0,1.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,21.0,9.0,3.0,1.0,1.0,1.0,0.0,0.0,30.0,5.0,30.0,15.0,15.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,4.0,7.0,4.0,4.0,3.15,0.0,0.0,1.0,0.0,0.0,0.0,30.0,20.0,10.0,30.0,0.0,10.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,7.0,5.0,8.0,5.0,0.0,1.0,0.0,1.0,0.0,10.0,10.0,10.0,10.0,10.0,5.01,2.0,2.0,2.0,2.0,2.0,0.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,10.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.2,-1.0,7.0,-0.65,2.0,0.0,0.0,8.0,2.84,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
